"entity_ID","LGM_ice","mean_consensus_full_class_1","mean_consensus_full_class_10","mean_consensus_full_class_11","mean_consensus_full_class_12","mean_consensus_full_class_2","mean_consensus_full_class_3","mean_consensus_full_class_4","mean_consensus_full_class_5","mean_consensus_full_class_6","mean_consensus_full_class_7","mean_consensus_full_class_8","mean_consensus_full_class_9","n_consensus_full_class_1","n_consensus_full_class_10","n_consensus_full_class_11","n_consensus_full_class_12","n_consensus_full_class_2","n_consensus_full_class_3","n_consensus_full_class_4","n_consensus_full_class_5","n_consensus_full_class_6","n_consensus_full_class_7","n_consensus_full_class_8","n_consensus_full_class_9"
148,0,4.9422,0.00593,16.37792,2.06817,4.18266,3.18377,11.09485,32.21897,4.41163,18.48611,0.19563,2.8203,2699,2699,2699,2699,2699,2699,2699,2699,2699,2699,2699,2699
149,0,1.16771,0,16.19606,2.2124,2.01346,1.01538,10.57809,36.17828,6.83229,21.06631,0.06391,2.66795,2081,2081,2081,2081,2081,2081,2081,2081,2081,2081,2081,2081
150,0,0.00544,0,64.5845,2.05211,0.00997,0,0.33484,22.47259,7.16357,2.34889,0.0222,1.09651,2207,2207,2207,2207,2207,2207,2207,2207,2207,2207,2207,2207
151,0,0,0,61.64103,5.58883,0.04121,0,3.29487,12.21245,8.03297,3.91026,0.0348,5.28846,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092
152,31.242413,0.23826,0.00139,1.12634,5.87122,2.08938,3.63587,1.57206,24.25581,48.44386,10.91795,1.84751,0,8604,8604,8604,8604,8604,8604,8604,8604,8604,8604,8604,8604
153,0,0.12503,0,0.98045,4.61112,2.42953,3.98653,0.9802,21.22613,50.22669,13.94312,1.49753,0,12325,12325,12325,12325,12325,12325,12325,12325,12325,12325,12325,12325
154,0,0,0,0,100,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4
155,0,0.37624,0,14.0198,30.46535,0.9604,0,4.62376,20.15842,11.9802,2.52475,0.60396,0,101,101,101,101,101,101,101,101,101,101,101,101
156,0,0,0,64.78836,16.81481,0.02646,0.06217,1.52249,6.34656,5.69841,0.17725,0.07407,0,756,756,756,756,756,756,756,756,756,756,756,756
157,0,0.08571,0,10.72381,17.08571,0.17619,0.18571,12.43333,17.22857,21.18571,4.92381,0.64286,0,210,210,210,210,210,210,210,210,210,210,210,210
158,0,0.15152,0,27.30303,39.33333,0.42424,0,2.69697,8.60606,7.51515,3.12121,0.66667,0,33,33,33,33,33,33,33,33,33,33,33,33
159,0,0.17548,0,53.47465,3.90275,0.23778,0.13564,6.08747,13.2414,12.30532,1.95455,0.35838,0,5522,5522,5522,5522,5522,5522,5522,5522,5522,5522,5522,5522
160,0,0.87261,0,62.52866,20.15287,0,0,0.78344,4.70064,3.98089,0.28025,0.35032,0,157,157,157,157,157,157,157,157,157,157,157,157
161,0,0.05263,0,30.11579,32.15789,0.26316,0,4.37895,9.6,7.83158,1.98947,0.62105,0,95,95,95,95,95,95,95,95,95,95,95,95
162,0,0,0,29.39394,41.45455,0,0,4.69697,4.90909,8.84848,3.87879,1.69697,0,33,33,33,33,33,33,33,33,33,33,33,33
163,0,0.07034,0.01988,10.2737,9.31498,0.47401,0.16361,8.30581,27.63609,19.96483,5.9052,0.38073,0,654,654,654,654,654,654,654,654,654,654,654,654
164,0,0.13472,0,6.03195,5.52763,0.69344,0.08377,12.34456,23.80052,22.04231,6.64076,0.54231,0,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158
165,0,0,0,33.62222,32.33333,0.91111,0,2.95556,18.28889,7.93333,0.4,0,0,45,45,45,45,45,45,45,45,45,45,45,45
166,0,0.39793,0,17.26036,27.90828,0.11538,0.11982,7.48373,18.5503,11.75296,2.28698,0.19527,0,676,676,676,676,676,676,676,676,676,676,676,676
167,0,0,0,1.25,82.08333,1.25,0,11,0,0,0,4.41667,0,12,12,12,12,12,12,12,12,12,12,12,12
169,0,0,0,0,100,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6
